id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,sell_price
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,8.42
HOBBIES_1_002_CA_1_evaluation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,3.92
HOBBIES_1_003_CA_1_evaluation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,3,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,2.98
HOBBIES_1_004_CA_1_evaluation,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,4.69
HOBBIES_1_005_CA_1_evaluation,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,1,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,3.0
HOBBIES_1_006_CA_1_evaluation,HOBBIES_1_006,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,1.03
HOBBIES_1_007_CA_1_evaluation,HOBBIES_1_007,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,7.84
HOBBIES_1_008_CA_1_evaluation,HOBBIES_1_008,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,0.36
HOBBIES_1_009_CA_1_evaluation,HOBBIES_1_009,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,5,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,1.64
HOBBIES_1_010_CA_1_evaluation,HOBBIES_1_010,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,2,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,2.92
HOBBIES_1_011_CA_1_evaluation,HOBBIES_1_011,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,1,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,3.63
HOBBIES_1_012_CA_1_evaluation,HOBBIES_1_012,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,2,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,6.63
HOBBIES_1_013_CA_1_evaluation,HOBBIES_1_013,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,1,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,1.9
HOBBIES_1_014_CA_1_evaluation,HOBBIES_1_014,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,2,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,1.07
HOBBIES_1_015_CA_1_evaluation,HOBBIES_1_015,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,0.6
HOBBIES_1_016_CA_1_evaluation,HOBBIES_1_016,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,2,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,0.6
HOBBIES_1_017_CA_1_evaluation,HOBBIES_1_017,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,2.0
HOBBIES_1_018_CA_1_evaluation,HOBBIES_1_018,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,11.92
HOBBIES_1_019_CA_1_evaluation,HOBBIES_1_019,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,0.5
HOBBIES_1_020_CA_1_evaluation,HOBBIES_1_020,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,12.56
HOBBIES_1_021_CA_1_evaluation,HOBBIES_1_021,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,11.8
HOBBIES_1_022_CA_1_evaluation,HOBBIES_1_022,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,7.2
HOBBIES_1_023_CA_1_evaluation,HOBBIES_1_023,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,2.99
HOBBIES_1_024_CA_1_evaluation,HOBBIES_1_024,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,0,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,8.55
HOBBIES_1_025_CA_1_evaluation,HOBBIES_1_025,HOBBIES_1,HOBBIES,CA_1,CA,d_1943,1,2016-05-24,11617,Sunday,4,5,2016,,,,,0,0,0,3.93
